County,Number of incidents
Alcona,221
Alger,218
Allegan,3743
Alpena,1257
Antrim,389
Arenac,501
Baraga,154
Barry,1390
Bay,3641
Benzie,260
Berrien,5840
Branch,1333
Calhoun,4036
Cass,627
Charlevoix,754
Cheboygan,721
Chippewa,1393
Clare,370
Clinton,1486
Crawford,607
Delta,1356
Dickinson,117
Eaton,1954
Emmet,1402
Genesee,11158
Gladwin,1234
Gogebic,188
Grand Traverse,4229
Gratiot,1384
Hillsdale,1469
Houghton,596
Huron,854
Ingham,10410
Ionia,2136
Iosco,969
Iron,245
Isabella,3842
Jackson,5355
Kalamazoo,9585
Kalkaska,601
Kent,17937
Keweenaw,45
Lake,333
Lapeer,2462
Leelanau,164
Lenawee,3701
Livingston,2281
Luce,251
Mackinac,455
Macomb,19903
Manistee,1174
Marquette,3068
Mason,1174
Mecosta,1790
Menominee,823
Midland,680
Missaukee,391
Monroe,2566
Montcalm,1922
Montmorency,209
Muskegon,3522
Newaygo,1854
Oakland,26475
Oceana,1059
Ogemaw,1115
Ontonagon,193
Osceola,617
Oscoda,374
Otsego,833
Ottawa,10060
Presque Isle,228
Roscommon,1340
Saginaw,7421
Saint Clair,3613
Saint Joseph,1943
Sanilac,672
Schoolcraft,274
Shiawassee,2174
Tuscola,1523
Van Buren,4271
Washtenaw,8524
Wayne,61216
Wexford,1914
